,Score,Predicted_Label,GT_Label,Original_Score,Laser_Score
0,-16.52460864890864,laser,laser,-181.06581244102082,-164.54120379211219
1,-15.970128646907256,laser,laser,-181.44147491510557,-165.47134626819832
2,-15.587703332529998,laser,laser,-183.11688690357008,-167.52918357104008
3,-15.99079575575135,laser,laser,-181.78438398436396,-165.7935882286126
4,-15.715989920506615,laser,laser,-183.1694961195198,-167.4535061990132
5,-9.978595432609495,laser,laser,-180.7852060992394,-170.8066106666299
6,-11.87052685434071,laser,laser,-182.59173882127047,-170.72121196692976
7,-13.04746423720124,laser,laser,-182.87522584393673,-169.8277616067355
8,-12.618759424970278,laser,laser,-183.12119396560414,-170.50243454063386
9,-12.877888329637557,laser,laser,-183.265730045201,-170.38784171556344
10,-12.845958141103267,laser,laser,-182.86438828916263,-170.01843014805937
11,-13.041757361506711,laser,laser,-182.90649878391255,-169.86474142240584
12,-11.053593601989803,laser,laser,-182.38957055534868,-171.33597695335888
13,-14.035456575139449,laser,laser,-183.9125878458444,-169.87713127070495
14,-13.645106109780897,laser,laser,-181.5671504176478,-167.9220443078669
15,-13.492079554816172,laser,laser,-184.91178019588048,-171.4197006410643
16,-10.02613912804216,laser,laser,-183.73998388898644,-173.71384476094428
17,-12.028454531132212,laser,laser,-184.92531365478368,-172.89685912365147
18,-12.011223631166246,laser,laser,-186.41042451798214,-174.3992008868159
19,-14.127840052140556,laser,laser,-184.14113781508172,-170.01329776294116
20,-10.749072665004974,laser,laser,-183.15995873738277,-172.4108860723778
21,-11.566103610999448,laser,laser,-184.15041477932067,-172.58431116832122
22,-11.41210566292014,laser,laser,-183.48006950861566,-172.06796384569552
23,-10.797973555385283,laser,laser,-183.57861466198037,-172.78064110659508
24,-5.0599511083370885,laser,laser,-179.99184567413025,-174.93189456579316
25,399.031492010995,original,original,-227.21111956965666,-626.2426115806517
26,274.5791611193068,original,original,-226.62433839949085,-501.2034995187976
27,263.626757130863,original,original,-228.78503026131477,-492.41178739217776
28,303.68221197142975,original,original,-238.65461533154283,-542.3368273029726
29,353.952065640093,original,original,-231.75412446733523,-585.7061901074283
30,221.30309362084074,original,original,-193.81989915721653,-415.12299277805727
31,264.88438037554215,original,original,-189.3484885129721,-454.23286888851425
32,250.37805329297,original,original,-189.57139243550992,-439.94944572847993
33,230.91931978103278,original,original,-188.26270621222855,-419.18202599326133
34,194.19984406999822,original,original,-187.31670008397737,-381.5165441539756
35,111.7643776736218,original,original,-191.19416967417575,-302.95854734779755
36,107.68685983907946,original,original,-190.18552621181018,-297.87238605088965
37,104.97299393522272,original,original,-189.71097979033212,-294.68397372555484
38,72.50756221525313,original,original,-188.65369794748636,-261.1612601627395
39,111.50713291401249,original,original,-188.96904287039249,-300.476175784405
40,190.4460960675664,original,original,-194.2460713414927,-384.6921674090591
41,164.15279514166656,original,original,-192.35531415129776,-356.5081092929643
42,154.6478914608014,original,original,-200.38492297333622,-355.0328144341376
43,101.50821979436756,original,original,-198.5009444813365,-300.00916427570405
44,124.08121466946866,original,original,-197.4983052085755,-321.57951987804415
45,169.37759362673998,original,original,-195.60777845886722,-364.9853720856072
46,146.45273040159688,original,original,-195.62343900206466,-342.07616940366154
47,173.91647362077524,original,original,-191.36897466150126,-365.2854482822765
48,147.90730234189914,original,original,-190.75374698530152,-338.66104932720066
49,168.6693056316878,original,original,-191.23019872728804,-359.89950435897583
