,Score,Predicted_Label,GT_Label,Original_Score,Laser_Score
0,-10.341934272315108,laser,laser,-73.07108848771982,-62.72915421540471
1,-11.034174639579781,laser,laser,-74.93719015399382,-63.903015514414044
2,-9.771667084032572,laser,laser,-74.40623587541167,-64.6345687913791
3,-10.296422725489101,laser,laser,-73.91452900382185,-63.61810627833275
4,-9.015981146894418,laser,laser,-74.03678825315987,-65.02080710626545
5,-6.708752995067144,laser,laser,-71.9987648546582,-65.29001185959106
6,-7.270132030517715,laser,laser,-73.39707532722049,-66.12694329670278
7,-8.431881761407112,laser,laser,-73.14082709624984,-64.70894533484272
8,-8.133375195807588,laser,laser,-73.13681828225904,-65.00344308645145
9,-6.595541250221601,laser,laser,-75.42764055451335,-68.83209930429175
10,-6.649229688282929,laser,laser,-73.80439989541722,-67.15517020713429
11,-3.7603596071677288,laser,laser,-72.46364956338866,-68.70328995622093
12,-3.3130636539690954,laser,laser,-71.92549734680694,-68.61243369283784
13,-6.421176383568806,laser,laser,-73.1266794830944,-66.7055030995256
14,-5.2305021012359845,laser,laser,-71.5331110324428,-66.30260893120682
15,-6.484606410795763,laser,laser,-73.00523394626126,-66.5206275354655
16,-4.960972259360588,laser,laser,-74.32743308858862,-69.36646082922803
17,-5.567228722058275,laser,laser,-73.36058281506286,-67.79335409300458
18,-6.56036047057772,laser,laser,-74.72751594435118,-68.16715547377346
19,-7.561794934218852,laser,laser,-74.58898751010477,-67.02719257588592
20,-6.461319758732799,laser,laser,-73.33994651604105,-66.87862675730825
21,-7.0814933570491405,laser,laser,-75.12702355525944,-68.0455301982103
22,-7.141959714763587,laser,laser,-73.44018287934661,-66.29822316458302
23,-7.029809276694735,laser,laser,-73.29655210696869,-66.26674283027396
24,-2.843683061346937,laser,laser,-72.70321478085329,-69.85953171950635
25,83.91522635040843,original,original,-87.33349547778153,-171.24872182818996
26,69.74812155842599,original,original,-89.81894973741794,-159.56707129584393
27,66.67241766588575,original,original,-92.44032025981292,-159.11273792569867
28,75.49546144440251,original,original,-94.59771634208084,-170.09317778648335
29,81.08452181419747,original,original,-91.50203441126405,-172.58655622546152
30,54.274852582043195,original,original,-85.61711842492701,-139.8919710069702
31,59.77376376317659,original,original,-85.08210560306935,-144.85586936624594
32,56.2414081470762,original,original,-84.79078038391857,-141.03218853099477
33,49.22493773236339,original,original,-85.56097296734553,-134.78591069970892
34,42.923086531419116,original,original,-84.99326627322866,-127.91635280464777
35,31.993094902548705,original,original,-82.20193385290789,-114.19502875545659
36,31.68995387477736,original,original,-82.38736579014304,-114.0773196649204
37,32.17530304115263,original,original,-82.34968817466158,-114.52499121581421
38,25.658695077657214,original,original,-83.03151515311016,-108.69021023076738
39,32.61957601727684,original,original,-83.63952291373494,-116.25909893101178
40,38.59789664229183,original,original,-88.6971596014074,-127.29505624369924
41,40.31582865911892,original,original,-89.46343027208917,-129.7792589312081
42,35.18341322564285,original,original,-92.05486991327065,-127.2382831389135
43,26.789130463636923,original,original,-89.51925852604191,-116.30838898967883
44,29.726655555143466,original,original,-90.35911209320074,-120.0857676483442
45,51.930299687233756,original,original,-81.34329205412634,-133.2735917413601
46,45.32679612774358,original,original,-83.74038712596324,-129.06718325370682
47,50.3820858153091,original,original,-81.70266518998952,-132.0847510052986
48,44.246040570045125,original,original,-80.15538838291641,-124.40142895296154
49,48.23995365011166,original,original,-81.7027812308059,-129.94273488091756
